image,score,IoU,Dice,Precision,Recall,F1,PredArea,GtArea,TP,FP
RT_LAT_UPPER_LONG-12_57_55.jpeg,0.9914959669113159,0.6745404167562848,0.8056424437493389,0.6819606288133642,0.9841255191508999,0.8056424437493389,78179,54175,1,0
RT_LAT_UPPER_LONG-12_57_55.jpeg,0.9619239568710327,0,0.0,0.0,0,0,38319,0,0,1
RT_LAT_UPPER_LONG-13_59_57.jpeg,0.9956953525543213,0.8804890262644403,0.936446864583429,0.9664152230772146,0.9082812305171093,0.9364468645834289,52762,56139,1,0
RT_LAT_UPPER_LONG-13_59_57.jpeg,0.9877474308013916,0.8401946107784432,0.9131584299369534,0.8908883866181266,0.9365704128273961,0.9131584299369535,57959,55132,1,0
RT_LAT_UPPER_LONG-20_11_12.png,0.9949187636375427,0.8716635095574307,0.9314318573893042,0.8956471733168185,0.9701950261152906,0.9314318573893042,22606,20869,1,0
RT_LAT_UPPER_TRANS-12_58_13.jpeg,0.9862871766090393,0.3585113335397104,0.52780028357302,0.3633099794346265,0.9644674747848616,0.5278002835730201,57378,21614,0,1
RT_LAT_UPPER_TRANS-20_24_43.png,0.9862480759620667,0.9027694160144492,0.9489004904287296,0.9748522458628842,0.9242946401053487,0.9489004904287296,33840,35691,1,0
RT_LAT_UPPER_TRANS-23_6_56.jpeg,0.994831919670105,0.928624281404747,0.9629913823633574,0.9946149156675472,0.9333168071393159,0.9629913823633574,49210,52442,1,0
RT_LAT_UPPER_TRANS-23_6_56.jpeg,0.8269445300102234,0,0.0,0.0,0,0,24505,0,0,1
RT_LAT_UPPER_TRANS-23_6_56.jpeg,0.5658684968948364,0,0.0,0.0,0,0,8188,0,0,1
RT_LOWER_ANT_TRANS-15_50_11.png,0.8327475786209106,0,0.0,0.0,0,0,16725,0,0,1
RT_LOWER_ANT_TRANS-15_50_11.png,0.8113389611244202,0.7263264373817138,0.8414705604385219,0.7461951055983909,0.9646370530877573,0.8414705604385219,29830,23075,1,0
RT_LOWER_ANT_TRANS-23_5_42.jpeg,0.9784352779388428,0.37449724415313573,0.5449225100249269,0.38612948960302457,0.9255472798844553,0.5449225100249269,84640,35311,0,1
RT_LOWER_ANT_TRANS-23_5_42.jpeg,0.7601210474967957,0.7856688856923025,0.8799715243822477,0.8631385520029401,0.8974741105888647,0.8799715243822478,27210,26169,1,0
RT_LOWER_ANT_TRANS-23_5_42.jpeg,0.7280635833740234,0.717661944463273,0.8356265291626108,0.78020682370858,0.899521395599105,0.8356265291626108,40711,35311,1,0
Rt_lower_ant_long-23_5_4.png,0.9946033358573914,0.7738822246455834,0.8725294316540129,0.8586206896551725,0.8868962069611948,0.8725294316540129,16530,16003,1,0
Rt_lower_ant_long-23_5_4.png,0.6080402135848999,0,0.0,0.0,0,0,3431,0,0,1
left_lower_post_long-23_9_45.png,0.995466947555542,0.7506438248796328,0.8575631595778702,0.7747601987749914,0.9601833285591521,0.8575631595778702,8653,6982,1,0
left_lower_post_long-23_9_45.png,0.9933466911315918,0.7591527987897125,0.8630890952872377,0.7720791876089855,0.9784219420252177,0.8630890952872377,9749,7693,1,0
left_lower_post_long-23_9_45.png,0.9459909796714783,0.8023843462485422,0.8903587605147746,0.8360788549824467,0.9521759188067046,0.8903587605147747,7406,6503,1,0
left_lower_post_long-23_9_45.png,0.7109363079071045,0,0.0,0.0,0,0,3392,0,0,1
left_upper_post_long-23_8_21.png,0.9839046597480774,0.6966032859516338,0.8211740384092269,0.989900314795383,0.7015896625453193,0.8211740384092269,7624,10757,1,0
left_upper_post_long-23_8_21.png,0.9777896404266357,0.7112223016440314,0.8312447786131997,0.8481318369086518,0.8150170648464163,0.8312447786131998,7039,7325,1,0
left_upper_post_long-23_8_21.png,0.8984121680259705,0,0.0,0.0,0,0,9914,0,0,1
left_upper_post_trans-23_9_3.png,0.9933933615684509,0.7152042656629812,0.8339581237999452,0.7317875481386393,0.9692879914984059,0.8339581237999452,12464,9410,1,0
left_upper_post_trans-23_9_3.png,0.9830535054206848,0.66798810703667,0.8009506833036245,0.7580486433291157,0.8490001574555188,0.8009506833036245,7113,6351,1,0
